Month,MMBtu
Jun 2016,1243.59056
May 2016,891.06142
Apr 2016,783.52558
Mar 2016,794.95215
Feb 2016,1005.81835
Jan 2016,1223.37683
Dec 2015,978.44046
Nov 2015,962.90644
Oct 2015,1045.52708
Sep 2015,1269.87187
Aug 2015,1449.04639
Jul 2015,1498.51437
Jun 2015,1350.11941
May 2015,1128.61344
Apr 2015,960.55363
Mar 2015,1160.59465
Feb 2015,1344.7018
Jan 2015,1412.98355
Dec 2014,1330.33059
Nov 2014,1272.92407
Oct 2014,1190.88193
Sep 2014,1348.15467
Aug 2014,1584.10601
Jul 2014,1598.67609
Jun 2014,1470.44746
May 2014,1271.0541
Apr 2014,1157.71773
Mar 2014,1451.55469
Feb 2014,1520.09621
Jan 2014,1667.61051
Dec 2013,1511.02623
Nov 2013,1298.10922
Oct 2013,1295.29399
Sep 2013,1424.06117
Aug 2013,1601.86971
Jul 2013,1633.46216
Jun 2013,1479.32243
May 2013,1280.48674
Apr 2013,1200.32481
Mar 2013,1393.70577
Feb 2013,1318.57032
Jan 2013,1474.34388
Dec 2012,1434.13491
Nov 2012,1372.93702
Oct 2012,1296.5103
Sep 2012,1354.39112
Aug 2012,1637.12073
Jul 2012,1723.78263
Jun 2012,1416.15235
May 2012,1249.86773
Apr 2012,1037.99555
Mar 2012,1140.97423
Feb 2012,1232.56339
Jan 2012,1391.63346
Dec 2011,1434.74856
Nov 2011,1308.97438
Oct 2011,1359.32822
Sep 2011,1508.80004
Aug 2011,1838.29521
Jul 2011,1888.06894
Jun 2011,1684.8064
May 2011,1471.65818
Apr 2011,1333.99999
Mar 2011,1442.52042
Feb 2011,1473.05607
Jan 2011,1809.86331
Dec 2010,1774.60121
Nov 2010,1440.05796
Oct 2010,1408.99317
Sep 2010,1588.83435
Aug 2010,1905.71433
Jul 2010,1917.00721
Jun 2010,1760.26418
May 2010,1527.48366
Apr 2010,1366.45836
Mar 2010,1535.456
Feb 2010,1625.40667
Jan 2010,1836.96907
Dec 2009,1774.8607
Nov 2009,1457.22812
Oct 2009,1483.87176
Sep 2009,1464.59743
Aug 2009,1741.76606
Jul 2009,1687.4083
Jun 2009,1584.61133
May 2009,1406.56962
Apr 2009,1344.11158
Mar 2009,1444.52206
Feb 2009,1490.93443
Jan 2009,1822.80268
Dec 2008,1781.6754
Nov 2008,1622.41778
Oct 2008,1608.22464
Sep 2008,1718.34966
Aug 2008,1926.09387
Jul 2008,1984.27772
Jun 2008,1816.38962
May 2008,1644.81042
Apr 2008,1559.5518
Mar 2008,1704.00619
Feb 2008,1762.41555
Jan 2008,1923.49353
Dec 2007,1853.35435
Nov 2007,1681.86416
Oct 2007,1709.27049
Sep 2007,1801.21293
Aug 2007,2026.75192
Jul 2007,1966.53073
Jun 2007,1835.35561
May 2007,1667.70279
Apr 2007,1549.23631
Mar 2007,1686.34722
Feb 2007,1728.30713
Jan 2007,1857.65433
Dec 2006,1829.87909
Nov 2006,1681.51999
Oct 2006,1702.86334
Sep 2006,1714.25736
Aug 2006,2019.28663
Jul 2006,1994.42574
Jun 2006,1800.2079
May 2006,1658.06059
Apr 2006,1497.59392
Mar 2006,1706.90343
Feb 2006,1670.36845
Jan 2006,1784.60533
Dec 2005,1886.67129
Nov 2005,1677.35176
Oct 2005,1728.98991
Sep 2005,1826.88377
Aug 2005,2008.10078
Jul 2005,1986.77899
Jun 2005,1844.92575
May 2005,1625.76785
Apr 2005,1519.0345
Mar 2005,1727.04987
Feb 2005,1647.11149
Jan 2005,1871.71596
Dec 2004,1866.7985
Nov 2004,1670.83837
Oct 2004,1667.81331
Sep 2004,1747.57989
Aug 2004,1886.82561
Jul 2004,1927.73668
Jun 2004,1774.81495
May 2004,1667.55509
Apr 2004,1498.02552
Mar 2004,1625.85883
Feb 2004,1703.41585
Jan 2004,1902.98488
Dec 2003,1851.975
Nov 2003,1669.552
Oct 2003,1669.182
Sep 2003,1744.4
Aug 2003,1962.965
Jul 2003,1924.297
Jun 2003,1716.92
May 2003,1585.451
Apr 2003,1493.381
Mar 2003,1634.61
Feb 2003,1642.022
Jan 2003,1888.823
Dec 2002,1806.686
Nov 2002,1644.201
Oct 2002,1677.226
Sep 2002,1745.447
Aug 2002,1919.954
Jul 2002,1948.387
Jun 2002,1750.69
May 2002,1598.183
Apr 2002,1500.217
Mar 2002,1595.72
Feb 2002,1504.683
Jan 2002,1726.58
Dec 2001,1678.557
Nov 2001,1530.122
Oct 2001,1585.205
Sep 2001,1651.889
Aug 2001,1958.285
Jul 2001,1911.469
Jun 2001,1728.389
May 2001,1609.281
Apr 2001,1485.098
Mar 2001,1644.568
Feb 2001,1583.64
Jan 2001,1865.793 
